"","sID","Name","Condition","DV","Rating"
"1",2,"Argument","Argument","DV",500
"2",1,"Narrative","Narrative","DV",500
"3",10,"Argument","Argument","DV",0
"4",14,"Narrative","Narrative","DV",500
"5",11,"Narrative","Narrative","DV",100
"6",8,"Facts","Facts","DV",500
"7",7,"Control","Control","DV",0
"8",5,"Narrative","Narrative","DV",400
"9",9,"Argument","Argument","DV",500
"10",17,"Facts","Facts","DV",61
"11",15,"Control","Control","DV",2
"12",22,"Control","Control","DV",250
"13",18,"Facts","Facts","DV",200
"14",6,"Facts","Facts","DV",187
"15",3,"Control","Control","DV",0
"16",30,"Narrative","Narrative","DV",100
"17",33,"Control","Control","DV",40
"18",27,"Control","Control","DV",500
"19",43,"Facts","Facts","DV",42
"20",42,"Argument","Argument","DV",51
"21",36,"Facts","Facts","DV",500
"22",31,"Control","Control","DV",500
"23",4,"Facts","Facts","DV",46
"24",41,"Narrative","Narrative","DV",500
"25",25,"Facts","Facts","DV",150
"26",45,"Facts","Facts","DV",500
"27",49,"Facts","Facts","DV",50
"28",48,"Narrative","Narrative","DV",500
"29",52,"Narrative","Narrative","DV",250
"30",28,"Argument","Argument","DV",200
"31",54,"Facts","Facts","DV",500
"32",46,"Argument","Argument","DV",500
"33",51,"Argument","Argument","DV",250
"34",53,"Argument","Argument","DV",251
"35",58,"Narrative","Narrative","DV",250
"36",61,"Facts","Facts","DV",250
"37",60,"Facts","Facts","DV",400
"38",21,"Narrative","Narrative","DV",0
"39",68,"Control","Control","DV",500
"40",40,"Narrative","Narrative","DV",300
"41",55,"Control","Control","DV",500
"42",67,"Facts","Facts","DV",100
"43",74,"Control","Control","DV",0
"44",34,"Narrative","Narrative","DV",325
"45",39,"Argument","Argument","DV",500
"46",20,"Facts","Facts","DV",150
"47",71,"Facts","Facts","DV",5
"48",63,"Control","Control","DV",252
"49",73,"Argument","Argument","DV",390
"50",82,"Facts","Facts","DV",250
"51",70,"Narrative","Narrative","DV",250
"52",80,"Control","Control","DV",100
"53",32,"Narrative","Narrative","DV",100
"54",65,"Narrative","Narrative","DV",500
"55",69,"Narrative","Narrative","DV",500
"56",87,"Narrative","Narrative","DV",310
"57",92,"Argument","Argument","DV",100
"58",66,"Argument","Argument","DV",5
"59",83,"Facts","Facts","DV",20
"60",57,"Control","Control","DV",239
"61",86,"Facts","Facts","DV",500
"62",62,"Argument","Argument","DV",500
"63",76,"Control","Control","DV",225
"64",116,"Facts","Facts","DV",100
"65",91,"Narrative","Narrative","DV",100
"66",97,"Narrative","Narrative","DV",200
"67",93,"Facts","Facts","DV",259
"68",90,"Facts","Facts","DV",500
"69",110,"Narrative","Narrative","DV",300
"70",88,"Control","Control","DV",250
"71",123,"Narrative","Narrative","DV",500
"72",114,"Narrative","Narrative","DV",375
"73",126,"Facts","Facts","DV",100
"74",122,"Control","Control","DV",30
"75",81,"Narrative","Narrative","DV",500
"76",130,"Facts","Facts","DV",250
"77",119,"Argument","Argument","DV",100
"78",108,"Control","Control","DV",100
"79",125,"Narrative","Narrative","DV",500
"80",132,"Argument","Argument","DV",0
"81",106,"Narrative","Narrative","DV",100
"82",118,"Facts","Facts","DV",0
"83",136,"Argument","Argument","DV",500
"84",138,"Facts","Facts","DV",250
"85",85,"Control","Control","DV",199
"86",140,"Facts","Facts","DV",500
